ID,Dog,Runs,Wins,Strike Rate,Longest Winning Sequence,Longest Losing Sequence,Current Losing Sequence,Last Run
254,Alberta Al,43,4,9.3,1,14,14,28/12/2021
255,Alberta Minnie,8,0,0,0,8,8,28/12/2021
256,Alberta Rose,9,1,11.11,1,8,8,04/03/2021
257,Alberta Star,18,6,33.33,1,4,0,30/12/2021
258,Alchemist Duke,14,0,0,0,14,14,21/03/2021
259,Aldebaran,11,4,36.36,1,4,0,31/12/2021
260,Aldworth Buzzer,9,3,33.33,1,2,1,27/02/2021
261,Aldworth Cherry,9,3,33.33,2,3,2,19/06/2021
262,Aldworth Jewel,12,2,16.66,1,5,3,21/05/2021
263,Alex Be Slick,2,0,0,0,2,2,30/01/2021
264,Alex Charm,51,9,17.64,3,14,2,24/10/2021
265,Alexian Lad,12,1,8.33,1,8,3,29/12/2021
266,Alf N Tom,5,0,0,0,5,5,27/02/2021
267,Alfar Darcy,21,3,14.28,1,10,10,29/12/2021
268,Alfar Dennis,9,2,22.22,1,3,1,11/11/2021
269,Alfar Emma,8,0,0,0,8,8,17/12/2021
270,Alfar Gina,13,3,23.07,2,8,1,29/12/2021
271,Alfar Ivy,6,1,16.66,1,3,2,09/10/2021
272,Alfar Jo,6,0,0,0,6,6,24/12/2021
273,Alfar Lola,14,2,14.28,2,11,11,23/12/2021
274,Alice,8,2,25,1,4,1,24/12/2021
275,Alien Brian,31,4,12.9,1,12,2,04/10/2021
276,Alien Bullet,14,2,14.28,2,9,9,26/06/2021
277,Alien Loren,31,7,22.58,2,13,1,21/12/2021
278,Alien Luna,1,1,100,1,0,0,28/12/2021
279,Alien Moon,6,1,16.66,1,4,4,04/07/2021
280,Alien Sapphire,5,0,0,0,5,5,02/03/2021
281,Alien Skoda,1,0,0,0,1,1,25/02/2021
282,Alien Tuftys,9,1,11.11,1,6,6,20/06/2021
283,Alien World,3,2,66.66,2,1,0,16/11/2021
284,All About Brae,1,1,100,1,0,0,05/01/2021
285,All About Gold,36,7,19.44,1,11,4,27/12/2021
286,All About Nona,8,2,25,1,4,1,21/12/2021
287,All About Taylor,14,4,28.57,3,8,1,06/11/2021
288,All Downhill,12,1,8.33,1,10,10,29/08/2021
289,All Fours,18,4,22.22,3,7,1,28/12/2021
290,All Gone,8,1,12.5,1,4,4,11/03/2021
291,All Hype,13,2,15.38,1,4,3,31/03/2021
292,All Messed Up,13,2,15.38,1,7,7,27/04/2021
293,All My Friends,21,3,14.28,1,8,1,26/12/2021
294,All Shook Up,9,1,11.11,1,8,0,27/12/2021
295,All Wound Up,7,2,28.57,1,5,0,13/03/2021
296,Allaghaun Rapid,12,1,8.33,1,6,6,29/12/2021
297,Allaghaun Shore,9,3,33.33,2,3,3,21/07/2021
298,Allegra,26,2,7.69,1,13,5,03/09/2021
299,Allen Belle,43,6,13.95,2,13,3,26/12/2021
300,Allen Diva,41,4,9.76,1,10,10,26/12/2021
301,Allen Jet,5,1,20,1,4,0,31/12/2021
302,Allez Jouer,19,5,26.31,2,6,3,06/08/2021
303,Allie Star,10,1,10,1,5,4,27/12/2021
304,Allinone,4,0,0,0,4,4,27/01/2021
305,Allourtomorrows,10,4,40,3,3,2,30/08/2021
306,Allowdale Emma,19,3,15.78,1,7,0,28/12/2021
307,Allowdale Jane,10,1,10,1,6,3,21/12/2021
308,Allowdale Mia,17,0,0,0,17,17,02/06/2021
309,Allowdale Ruby,23,6,26.08,2,4,3,23/12/2021
310,Allowdale Zoe,13,3,23.07,1,3,2,28/12/2021
311,Allround Paddy,48,7,14.58,3,13,13,26/12/2021
312,Allround Paddy,48,7,14.58,3,13,13,26/12/2021
313,Alltokatie,16,4,25,2,7,0,29/12/2021
314,Alma Aruba,18,2,11.11,1,9,4,02/06/2021
315,Almacpete,23,5,21.73,2,9,0,30/12/2021
316,Almar Ted,20,4,20,1,8,8,08/09/2021
317,Almighty Roddick,14,2,14.28,1,6,6,11/05/2021
318,Almond Eye,25,4,16,1,15,15,30/09/2021
319,Almost Gone,11,2,18.18,1,7,0,27/12/2021
320,Alnwick Alfie,40,7,17.5,2,7,4,29/12/2021
321,Alnwick Anna,27,4,14.81,1,13,1,29/12/2021
322,Alnwick Beauty,40,6,15,2,15,5,24/11/2021
323,Alnwick Benz,26,5,19.23,2,11,4,02/09/2021
324,Alnwick Biscuit,30,6,20,1,6,6,29/12/2021
325,Alnwick Buzz,53,8,15.09,1,8,2,24/12/2021
326,Alnwick Cat,50,8,16,1,14,0,22/12/2021
327,Alnwick Class,33,3,9.09,1,14,9,29/12/2021
328,Alnwick Cracker,43,4,9.3,1,11,11,02/09/2021
329,Alnwick Dominoe,24,1,4.17,1,16,7,03/06/2021
330,Alnwick Doreen,16,2,12.5,1,10,3,02/09/2021
331,Alnwick Glory,50,6,12,1,14,0,22/12/2021
332,Alnwick Ian,46,6,13.04,1,13,6,29/12/2021
333,Alnwick Ivy,41,7,17.07,2,13,8,31/12/2021
334,Alnwick Jet,41,8,19.51,2,12,0,29/12/2021
335,Alnwick Lexie,30,3,10,1,12,4,31/07/2021
336,Alnwick Logan,56,12,21.42,3,8,4,29/12/2021
337,Alnwick Magic,24,4,16.66,1,8,8,01/10/2021
338,Alnwick Mark,9,1,11.11,1,7,1,25/02/2021
339,Alnwick Matt,45,11,24.44,3,11,11,21/12/2021
340,Alnwick Mecca,54,11,20.37,2,13,3,17/12/2021
341,Alnwick Patsy,37,4,10.81,1,11,6,30/12/2021
342,Alnwick Sal,41,8,19.51,2,8,8,30/12/2021
343,Alnwick Sky,49,4,8.16,1,19,19,30/12/2021
344,Alnwick Terry,52,7,13.46,2,13,13,18/12/2021
345,Alnwick Zoom,54,8,14.81,2,12,10,22/12/2021
346,Aloe Scolari,2,0,0,0,2,2,20/03/2021
347,Aloha Santorini,7,1,14.28,1,5,5,08/05/2021
348,Along Came Polly,17,4,23.52,2,4,4,05/12/2021
349,Alpha,5,0,0,0,5,5,15/05/2021
350,Altesse Amber,3,0,0,0,3,3,30/12/2021
351,Altesse Paige,17,2,11.76,1,7,6,18/10/2021
352,Altesse Spruce,19,5,26.31,2,5,1,28/07/2021
353,Altmore Lass,4,2,50,2,2,0,28/12/2021
354,Altmore Melody,6,1,16.66,1,3,2,18/12/2021
355,Altmore Midget,2,0,0,0,2,2,30/12/2021
356,Altmore Swift,35,7,20,2,12,4,22/10/2021
357,Altmore Willow,1,0,0,0,1,1,22/12/2021
358,Altmore Wizard,20,2,10,1,13,4,27/06/2021
359,Alton Boss,26,4,15.38,2,9,9,02/10/2021
360,Alton Jazz,9,0,0,0,9,9,24/04/2021
361,Alton Sky,33,7,21.21,2,10,0,28/12/2021
362,Alton Spectre,15,3,20,1,5,5,14/10/2021
363,Alton Strike,14,1,7.14,1,8,5,13/09/2021
364,Altonkellypeanut,8,0,0,0,8,8,19/04/2021
365,Always A Blue,36,8,22.22,2,8,8,23/12/2021
366,Always Able,30,4,13.33,1,8,4,30/12/2021
367,Always An Answer,7,0,0,0,7,7,02/10/2021
368,Alwaysandforever,11,3,27.27,2,3,3,22/07/2021
369,Alwaysjacknteddy,62,10,16.12,2,12,12,21/12/2021
370,Alwaysme Toblame,4,0,0,0,4,4,12/02/2021
371,Alwaysonmymind,27,3,11.11,1,12,8,29/12/2021
372,Alwaysthenoely,21,0,0,0,21,21,27/12/2021
373,Amadan Dubh,20,3,15,1,5,4,30/07/2021
374,Amantfantastique,22,3,13.63,1,10,5,26/12/2021
375,Amantfantastique,22,3,13.63,1,10,5,26/12/2021
376,Amazing Act,1,0,0,0,1,1,02/01/2021
377,Amazing Aidan,34,5,14.7,1,11,5,22/10/2021
378,Amazing Chick,13,0,0,0,13,13,21/07/2021
379,Amazing Coco,37,6,16.21,2,12,0,22/12/2021
380,Amazing Fairy,47,7,14.89,3,12,12,20/12/2021
381,Amazing Lad,2,1,50,1,1,1,11/11/2021
382,Amazing Prince,3,1,33.33,1,2,2,22/01/2021
383,Amazing Queenie,27,6,22.22,1,7,5,07/10/2021
384,Amazing Rose,9,0,0,0,9,9,31/05/2021
